index,value
初期時刻,0 ~ 0
初期座標 x,10 ~ 10
初期座標 y,2 ~ 2
初期座標 theta,0 ~ 0
初期座標 vx,0 ~ 0
初期座標 vy,0 ~ 0
初期座標 omega,0 ~ 0
終端時刻,120 ~ 120
終端座標 x,15 ~ 15
終端座標 y,1 ~ 1
終端座標 theta,-3.14159 ~ 3.14159
終端座標 vx,0 ~ 0
終端座標 vy,0 ~ 0
終端座標 omega,0 ~ 0
状態境界 x,10 ~ 15
状態境界 y,0 ~ 2.5
状態境界 theta,-3.1416 ~ 3.14159
状態境界 vx,-0.15 ~ 0.15
状態境界 vy,-0.15 ~ 0.15
状態境界 omega,-0.7854 ~ 0.785398
制御境界 accx,-0.15 ~ 0.15
制御境界 accy,-0.15 ~ 0.15
制御境界 ang_acc,-0.7854 ~ 0.7854
非零のための下駄,0.001
soln.info.iterations,1000
soln.info.funcCount,733487
soln.info.constrviolation,2.0915e-11
soln.info.stepsize,0.023345
soln.info.algorithm,interior-point
soln.info.firstorderopt,2191.5822
soln.info.cgiterations,1722
soln.info.bestfeasible.fval,96882.2649
soln.info.nlpTime,182.2759
soln.info.exitFlag,0
